address,allocation
0xa2ce8bb4d2b018ed0f807adc835cb8100baeb9bd,1.2801%
0x4d02af17a29cda77416a1f60eae9092bb6d9c026,1.1145%
0x4bb96fc7f7e5064aa78c992028ec963eb500f7b8,0.9232%
0xe31959882e951c2895c0fd0f1d28215ca917aa8a,0.6826%
0x45d06e16f5a52cc85561d1c05704094cdc775508,0.4446%
0xeacdda5fba476c6c5590550fc4afc13c5081bfa8,0.3147%
0xc117f8a5fb540298d5b0307933590994350ccd34,0.2689%
0x088f5b099d58f411296417d90fa84bc0dabfd06a,0.2198%
0x96a9867e7668e43bc9794322acf241482ca34723,0.2118%
0x2c7109d5650abfd86952bc1d2e409584bc72e310,0.2249%
0x0101eaee8d0013234c32936963ff504a9954220b,0.2336%
0xa941275c3907192f0d84a9e1a21f3276e620604d,0.2129%
0xaa21496f86b3a2318eb660885a1b3637b793d17d,0.1536%
0x2715b583cdff49abba99d06df742a13f6aa6932f,0.1992%
0xce8d4e158981c4bb9b830fd729e415b5f7b666af,0.1871%
0x48d7d9e85f90c3489910e5e3461d19db29a9a35b,0.1540%
0xd481070e6d9834b903125b89093e3b922dd869a7,0.1397%
0x021b862960caebccb9e3180425540edff47e56e8,0.1549%
0x42742954f391a2fdac26340f32ec18b1bd019c68,0.1254%
0x42b10b337a5692743d587134c89a725422c3dffb,0.1928%
0x7fc1ccd50ffff00284456de6ebc16b11c8660eb6,0.1817%
0xb792935ebfe6744d71cc5664e73fced13f400293,0.0735%
0x8c78981ca4e7a0ae020aae0e640af5547bd025c4,0.0734%
0x7911ed1eec934f1c3719d5c760c01cf77f6f38f8,0.1094%
0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889,0.1024%
0xfb9fb553acaec0d991acdbbcc3fd837b3f464270,0.1699%
0xabf82f02747aa5201baf069a5242bd00fc351128,0.1241%
0xe0518b5d6bad6e2fee4e930efc489e6c6c0ab235,0.1002%
0x841ccec37f5364d70ef32f328aaacdf5ee43e434,0.1078%
0x8ef6f058666a6554eee59d21655411e4fb13012e,0.1265%
0xfdcab466f4c8d732c10dc99f3fef8f0337ddf892,0.1170%
0xd5d7b617d019e1389a9075b70a9c579e0901ce11,0.1062%
0x3e1dccdf07a014441178f1749dd14dc9160a87e6,0.0450%
0xcab6c01601302051c8a10aa05fe97ff2e895bbb3,0.0734%
0xe4bb0b15beaf306056177bb4aa303158d5c204ab,0.1162%
0x448811ca2806a04ac3d1f356537dacc4d03aee87,0.0990%
0xd02df454eebf85278b3c257ebc880709dc5e96ce,0.1269%
0x8a25b453a19a730d30c1a5407c4b31d3b11ec194,0.0859%
0x47cddfbc26da2df3b10f360b32c52a33e309023d,0.1852%
0x0d589fe6064956d49f0f9ec4fc89dbdf36db9362,0.1868%
